,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2022,ALABAMA,"SNAPPER, GRAY","2,855",1,"3,155",Public,Commercial,Lutjanus griseus,168848,GULFFIN
2022,ALABAMA,"SNAPPER, LANE",,,,Confidential,Commercial,Lutjanus synagris,168860,GULFFIN
2022,ALABAMA,"SNAPPER, LANE","13,111",6,,Public,Recreational,,168860,MRIP
2022,ALABAMA,"SNAPPER, RED","5,687,618","2,580",,Public,Recreational,,168853,MRIP
2022,ALABAMA,"SNAPPER, RED","168,903",77,"660,726",Public,Commercial,Lutjanus campechanus,168853,GULFFIN
2022,ALABAMA,"SNAPPER, VERMILION","558,663",253,,Public,Recreational,,168909,MRIP
2022,ALABAMA,"SNAPPER, VERMILION","30,970",14,"125,612",Public,Commercial,Rhomboplites aurorubens,168909,GULFFIN
2022,ALABAMA,"SNAPPER, YELLOWTAIL",,,,Confidential,Commercial,Ocyurus chrysurus,168907,GULFFIN
2022,ALABAMA,SOLE,,,,Public,Recreational,,172880,MRIP
2022,ALABAMA,SPADEFISH,"1,802",1,"1,605",Public,Commercial,Ephippidae ,553178,GULFFIN
2022,ALABAMA,"SPADEFISH, ATLANTIC","253,889",115,,Public,Recreational,,169539,MRIP
2022,ALABAMA,SPOT,586,0,,Public,Recreational,,169267,MRIP
2022,ALABAMA,SPOT,"5,190",2,"2,931",Public,Commercial,Leiostomus xanthurus,169267,GULFFIN
2022,ALABAMA,"SQUIDS, LOLIGINIDAE **","4,953",2,"3,094",Public,Commercial,Loliginidae,82369,GULFFIN
2022,ALABAMA,"STINGRAY, BLUNTNOSE",,,,Public,Recreational,,160954,MRIP
2022,ALABAMA,SWORDFISH,,,,Confidential,Commercial,Xiphias gladius,172482,EXCEPTIONS
2022,ALABAMA,SWORDFISH,"64,543",29,,Public,Recreational,,172482,MRIP
2022,ALABAMA,"TILEFISH, BLACKLINE",,,,Confidential,Commercial,Caulolatilus cyanops,168541,GULFFIN
2022,ALABAMA,"TILEFISH, BLUELINE",300,0,,Public,Recreational,,168543,MRIP
2022,ALABAMA,"TILEFISH, GOLDEN","1,085",0,,Public,Recreational,,168546,MRIP
2022,ALABAMA,"TILEFISH, SAND","1,676",1,,Public,Recreational,,168548,MRIP
2022,ALABAMA,TOMTATE,"6,025",3,,Public,Recreational,,169058,MRIP
2022,ALABAMA,"TRIGGERFISH, GRAY","146,810",67,,Public,Recreational,,173138,MRIP
